域名,状态,系统DNS,阿里DNS,谷歌DNS,DNSPod,114DNS
defenceprodindia.site,正常,172.67.198.241;104.21.60.179,172.67.198.241;104.21.60.179,ETIMEOUT,172.67.198.241;104.21.60.179,104.21.60.179;172.67.198.241
denika.se,正常,95.155.236.35,95.155.236.35,ETIMEOUT,95.155.236.35,ETIMEOUT
digital-magicians.com,正常,213.136.93.164,213.136.93.164,213.136.93.164,213.136.93.164,213.136.93.164
dodod.lat,正常,104.21.79.27;172.67.140.235,ESERVFAIL,172.67.140.235;104.21.79.27,104.21.79.27;172.67.140.235,104.21.79.27;172.67.140.235
dronemaker.org,正常,84.200.205.244,84.200.205.244,ETIMEOUT,84.200.205.244,ETIMEOUT
elcat.kg,正常,212.42.102.197,212.42.102.197,212.42.102.197,212.42.102.197,212.42.102.197
elev8souvenirs.com,正常,91.204.209.33,91.204.209.33,91.204.209.33,91.204.209.33,91.204.209.33
enhanceblabber.cc,正常,104.21.56.49;172.67.177.145,172.67.177.145;104.21.56.49,104.21.56.49;172.67.177.145,104.21.56.49;172.67.177.145,104.21.56.49;172.67.177.145
etaxtw.cn,正常,103.115.56.86,103.115.56.86,103.115.56.86,103.115.56.86,103.115.56.86
ev2sirbd269o5j.org,正常,188.40.187.145,188.40.187.145,188.40.187.145,188.40.187.145,188.40.187.145
fadoklismokley.com,正常,178.16.53.92,178.16.53.92,178.16.53.92,178.16.53.92,178.16.53.92
fair-bath-fond.xyz,已失效,ESERVFAIL,ENOTFOUND,ETIMEOUT,ENOTFOUND,ENOTFOUND
fast.raidher.icu,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
fiusyevr.live,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
fuaytrwese.love,正常,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117
fvxcuvuyte.live,正常,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117
gasrobariokley.com,正常,178.16.53.93,178.16.53.93,178.16.53.93,178.16.53.93,178.16.53.93
gatuso.duckdns.org,正常,162.35.97.149,162.35.97.149,162.35.97.149,162.35.97.149,ETIMEOUT
glanz-gmbh.de,正常,185.243.11.51,185.243.11.51,185.243.11.51,185.243.11.51,185.243.11.51
global.webjine.o-r.kr,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
google.com.hospitalinstallation.com,正常,45.137.205.53,45.137.205.53,45.137.205.53,45.137.205.53,45.137.205.53
hcgos.com,已失效,ENODATA,ENODATA,ETIMEOUT,ENODATA,ETIMEOUT
helloxcherry.com,正常,2.25.69.49,2.25.69.49,2.25.69.49,2.25.69.49,2.25.69.49
hospitalinstallation.com,已失效,ENODATA,ENODATA,ENODATA,ENODATA,ETIMEOUT
hsauyeet.live,正常,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117
hygienehistory.com,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
ijt0l3i8brit6q.org,正常,34.209.195.255,34.209.195.255,34.209.195.255,34.209.195.255,ETIMEOUT
investigation-launches-hearings-copying.trycloudflare.com,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
ip-scanner.org,已失效,ESERVFAIL,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
iran.dashboard.1drvms.store,正常,45.12.109.78,45.12.109.78,ETIMEOUT,45.12.109.78,45.12.109.78
iwsmailserver.com,正常,172.67.137.72;104.21.73.18,172.67.137.72;104.21.73.18,104.21.73.18;172.67.137.72,104.21.73.18;172.67.137.72,172.67.137.72;104.21.73.18
jaiydteds.love,正常,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,ETIMEOUT
johncon.my,正常,104.21.25.179;172.67.134.113,172.67.134.113;104.21.25.179,172.67.134.113;104.21.25.179,104.21.25.179;172.67.134.113,172.67.134.113;104.21.25.179
jzluw.com,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
kdsuyrse.live,正常,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117
lisiutegrm.live,正常,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117
lmaxjuyh.cn,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
looksta.icu,正常,104.21.33.112;172.67.161.227,104.21.33.112;172.67.161.227,ETIMEOUT,172.67.161.227;104.21.33.112,172.67.161.227;104.21.33.112
mail.iwsmailserver.com,正常,104.21.73.18;172.67.137.72,ETIMEOUT,172.67.137.72;104.21.73.18,104.21.73.18;172.67.137.72,172.67.137.72;104.21.73.18
med.gov.sy,正常,177.29.245.136,177.29.245.136,177.29.245.136,177.29.245.136,ETIMEOUT
memphiswawu.com,正常,124.198.132.55,124.198.132.55,124.198.132.55,124.198.132.55,ETIMEOUT
microuptime.com,正常,84.200.205.244,84.200.205.244,84.200.205.244,84.200.205.244,84.200.205.244
mksfuuerwo.live,正常,103.23.172.117,103.23.172.117,ETIMEOUT,103.23.172.117,103.23.172.117
mofa.gov.iq,正常,172.67.68.251;104.26.1.234;104.26.0.234,104.26.0.234;172.67.68.251;104.26.1.234,172.67.68.251;104.26.1.234;104.26.0.234,172.67.68.251;104.26.1.234;104.26.0.234,104.26.1.234;172.67.68.251;104.26.0.234
mysimerp.net,已失效,ESERVFAIL,ESERVFAIL,ESERVFAIL,ETIMEOUT,ESERVFAIL
naintn.com,正常,172.67.136.116;104.21.46.82,172.67.136.116;104.21.46.82,104.21.46.82;172.67.136.116,104.21.46.82;172.67.136.116,172.67.136.116;104.21.46.82
ncduuyese.live,正常,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117
networklookout.com,正常,172.67.207.143;104.21.22.229,172.67.207.143;104.21.22.229,104.21.22.229;172.67.207.143,104.21.22.229;172.67.207.143,172.67.207.143;104.21.22.229
networkservice.cyou,已失效,ESERVFAIL,ESERVFAIL,ETIMEOUT,ESERVFAIL,ETIMEOUT
njhwuyklw.com,正常,103.115.56.86,103.115.56.86,103.115.56.86,103.115.56.86,103.115.56.86
node449013.dwservice.net,正常,51.68.153.212,51.68.153.212,51.68.153.212,51.68.153.212,ETIMEOUT
node828765.dwservice.net,正常,194.61.31.164,194.61.31.164,194.61.31.164,194.61.31.164,194.61.31.164
node896147.dwservice.net,正常,46.250.233.27,46.250.233.27,46.250.233.27,46.250.233.27,46.250.233.27
oakwusya.love,正常,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117
oauth.shacloud.o-r.kr,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
oobe.webjine.o-r.kr,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
opmanager.pro,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
p.cloudlanecdn.com,已失效,ESERVFAIL,ETIMEOUT,ESERVFAIL,ESERVFAIL,ETIMEOUT
paiwudyea.love,正常,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117
pestrear-lamp.xyz,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ETIMEOUT
playtogga.com,正常,172.67.212.199;104.21.61.184,172.67.212.199;104.21.61.184,104.21.61.184;172.67.212.199,104.21.61.184;172.67.212.199,104.21.61.184;172.67.212.199
pois43.s3.eu-central-003.backblazeb2.com,正常,45.11.36.254;45.11.38.254;45.11.39.254;45.11.37.254,45.11.38.254;45.11.37.254;45.11.39.254;45.11.36.254,45.11.36.254;45.11.39.254;45.11.37.254;45.11.38.254,45.11.36.254;45.11.39.254;45.11.37.254;45.11.38.254,45.11.37.254;45.11.38.254;45.11.39.254
prism-matrixs.com,正常,104.21.60.213;172.67.201.201,172.67.201.201;104.21.60.213,ETIMEOUT,172.67.201.201;104.21.60.213,ETIMEOUT
prism-vertex.com,正常,104.21.13.107;172.67.199.214,172.67.199.214;104.21.13.107,172.67.199.214;104.21.13.107,104.21.13.107;172.67.199.214,104.21.13.107;172.67.199.214
professionalhomebasedbusiness.com,已失效,ETIMEOUT,ENOTFOUND,ETIMEOUT,ENOTFOUND,ENOTFOUND
projetosmecanicos.com.br,正常,177.73.233.244,177.73.233.244,177.73.233.244,177.73.233.244,177.73.233.244
proton-network.com,正常,172.67.198.116;104.21.68.204,172.67.198.116;104.21.68.204,104.21.68.204;172.67.198.116,104.21.68.204;172.67.198.116,172.67.198.116;104.21.68.204
q.cloudlanecdn.com,已失效,ESERVFAIL,ETIMEOUT,ESERVFAIL,ESERVFAIL,ETIMEOUT
qeuasytua.love,正常,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117
rema200426.duckdns.org,正常,186.169.76.60,186.169.76.60,186.169.76.60,186.169.76.60,186.169.76.60
resumeacceptable.com,正常,185.117.72.215,ETIMEOUT,185.117.72.215,185.117.72.215,ETIMEOUT
rule-bead-dust.xyz,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
safefire.jo,正常,173.212.234.74,173.212.234.74,ETIMEOUT,173.212.234.74,173.212.234.74
sdfw2026024.tos-cn-shanghai.volces.com,正常,180.97.50.1;180.97.50.130,180.97.50.1;180.97.50.130,180.97.50.130;180.97.50.1,180.97.50.130;180.97.50.1,180.97.50.1;180.97.50.130
security.amazonassist.xyz,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
sentiwaw.s3.eu-central-003.backblazeb2.com,正常,45.11.38.254;45.11.39.254;45.11.37.254;45.11.36.254,45.11.36.254;45.11.38.254;45.11.37.254;45.11.39.254,45.11.39.254;45.11.37.254;45.11.38.254;45.11.36.254,45.11.38.254;45.11.39.254;45.11.37.254;45.11.36.254,45.11.38.254;45.11.39.254;45.11.36.254
smallmartdirectintense.com,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
socialbizsolutions.com,正常,35.214.137.246,35.214.137.246,35.214.137.246,35.214.137.246,35.214.137.246
sonra.eutialyson.com,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
souls-entire-defined-routes.trycloudflare.com,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ETIMEOUT,ENOTFOUND
statementstview.online,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
stewise.top,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
support.almersalstore.com,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
svuatwea.love,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ETIMEOUT
syfiaydytea.live,正常,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117
taukeny.com,正常,103.115.56.86,103.115.56.86,103.115.56.86,103.115.56.86,103.115.56.86
taxfnat.tw,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
taxhub.tw,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
taxpro.tw,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
telesupportgroup.com,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
tkooyvff.cn,正常,103.115.56.86,103.115.56.86,103.115.56.86,103.115.56.86,ETIMEOUT
tmodloader.org,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
tmodloader.pro,已失效,ENOTFOUND,ENOTFOUND,ETIMEOUT,ENOTFOUND,ETIMEOUT
transfergocompany.com,正常,40.112.253.185,40.112.253.185,40.112.253.185,40.112.253.185,40.112.253.185
turnkeyaiagents.com,正常,75.98.162.139,75.98.162.139,75.98.162.139,75.98.162.139,75.98.162.139
twmoi2002.tos-cn-shanghai.volces.com,正常,180.97.50.130;180.97.50.1,180.97.50.1;180.97.50.130,180.97.50.130;180.97.50.1,180.97.50.1;180.97.50.130,180.97.50.130;180.97.50.1
twswsb.cn,正常,47.238.232.44,47.238.232.44,ETIMEOUT,47.238.232.44,47.238.232.44
twtaxgo.cn,正常,47.238.232.44,47.238.232.44,47.238.232.44,47.238.232.44,47.238.232.44
uglyshop-mare.xyz,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ETIMEOUT,ENOTFOUND
unityprogressall.org,正常,72.60.90.32,72.60.90.32,ETIMEOUT,72.60.90.32,72.60.90.32
ux.strainedeasily.icu,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
vfsgloball.net,正常,185.230.63.186;185.230.63.107;185.230.63.171,185.230.63.186;185.230.63.107;185.230.63.171,185.230.63.171;185.230.63.107;185.230.63.186,185.230.63.171;185.230.63.186;185.230.63.107,185.230.63.107;185.230.63.186;185.230.63.171
vurul.click,正常,102.220.160.203,102.220.160.203,102.220.160.203,102.220.160.203,ETIMEOUT
vusuydryt.love,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ETIMEOUT
w456w5.s3.eu-central-003.backblazeb2.com,正常,45.11.39.254;45.11.38.254;45.11.36.254;45.11.37.254,45.11.37.254;45.11.39.254;45.11.38.254;45.11.36.254,ETIMEOUT,45.11.36.254;45.11.37.254;45.11.39.254;45.11.38.254,ETIMEOUT
walter.filloco.icu,已失效,ESERVFAIL,ESERVFAIL,EREFUSED,ESERVFAIL,ESERVFAIL
walwood.be,正常,ESERVFAIL,212.227.173.102,212.227.173.102,212.227.173.102,212.227.173.102
war.analyse.ltd,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
wawsenti.duckdns.org,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ETIMEOUT
windowsupdate-cdn.com,正常,172.67.151.208;104.21.73.251,104.21.73.251;172.67.151.208,172.67.151.208;104.21.73.251,172.67.151.208;104.21.73.251,172.67.151.208;104.21.73.251
woopresscdn.com,正常,104.21.13.178;172.67.156.222,104.21.13.178;172.67.156.222,172.67.156.222;104.21.13.178,104.21.13.178;172.67.156.222,104.21.13.178;172.67.156.222
www.ilskdeid.o-r.kr,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
xnbscuya.love,正常,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117
xuastyrdqk.love,正常,103.23.172.117,103.23.172.117,ETIMEOUT,103.23.172.117,103.23.172.117
zbyq.cn,正常,43.228.242.34,43.228.242.34,43.228.242.34,43.228.242.34,43.228.242.34
zealpraxis.com,正常,172.67.210.254;104.21.67.11,104.21.67.11;172.67.210.254,104.21.67.11;172.67.210.254,172.67.210.254;104.21.67.11,104.21.67.11;172.67.210.254
